Dutch,English
je,you
het,It
is,is
een,An
niet,not 
van,by
wat,what
in,in
ze,she
te,at
zijn,are
op,on
met,of
die,That
heb,have
om,to
dit,this
mijn,mine
aan,On
u,you
dan,than
naar,Unpleasant
weet,know
hier,here
zo,Like this
jij,you
kan,can
nog,yet
ja,Yes
hem,it
heeft,has
wel,well
hebben,to have
haar,her
nee,no
hoe,how
nu,now
waar,Where
over,about
ook,also
doen,doing
zou,would
ga,go
of,or
gaan,to go
bent,are
bij,bee
al,already
had,had
iets,something
daar,over there
gaat,go
kom,bowl
deze,this
laat,leave
kunnen,be able to
wie,Who
alles,everything
echt,Real
doe,off
door,Through
alleen,only
toch,However
zien,to see
weg,away
eens,at sometime
misschien,maybe
laten,to leave
nou,Well
zei,said
mee,along
iemand,someone
komt,comes
toen,when
veel,a lot of
even,for a bit
onze,our
gewoon,Ordinary
nodig,necessary
mensen,people
tot,until
worden,become
zeggen,say
weer,weather
leven,to live
twee,two
net,just
tegen,in return for
maken,to make
zeg,say
omdat,because
zit,sit
hou,keep
kijk,look
heel,all
altijd,always
mag,allowed
gedaan,done
dood,dead
zeker,Certainly
af,off
jaar,year
hun,their
wilde,wild
allemaal,all
jouw,your
dacht,thought
doet,do
vader,father
wacht,guard
zie,see 
keer,time
zoals,as
zij,she
anders,otherwise
waren,goods
willen,want
bedankt,Thank you
één,An
erg,terribly
praten,to talk
spijt,regret
geld,money
werk,work
oh,Oh
iedereen,everyone
beter,better
werd,became
niemand,no one
vinden,find
staat,stands
gezien,seen
niks,nothing
binnen,inside
zitten,to sit
zullen,shall
na,after
helpen,to help
wist,knew
vast,fixed
